District,Rainfall,Water_Level,Humidity,Temperature,Wind_Speed,Flood_Occurrence
Virudhunagar,0.0,1.58,66.5,34.5,8.8,0
Tiruvannamalai,0.0,1.24,72.4,33.4,28.6,0
Mayiladuthurai,23.04,2.33,90.1,29.9,19.9,1
Coimbatore,0.0,0.6,67.4,37.2,21.6,0
Krishnagiri,0.0,1.2,48.4,35.9,21.4,0
Tiruvallur,4.78,2.18,69.0,35.8,16.2,1
Salem,0.0,0.96,70.0,34.1,7.1,0
Dharmapuri,0.0,0.78,56.7,27.5,6.5,0
Erode,0.0,1.36,41.8,37.2,6.2,0
Salem,0.0,1.36,69.4,36.0,16.3,0
Chengalpattu,103.91,4.16,91.9,27.7,38.9,0
Nagapattinam,88.85,4.83,76.0,31.6,35.7,0
Tirupathur,78.62,4.55,72.3,15.1,8.6,0
Vellore,0.0,1.35,60.8,34.1,20.6,0
Tiruchirappalli,50.77,4.59,79.8,31.0,11.3,1
Mayiladuthurai,4.23,2.25,65.6,29.8,31.5,0
Tiruvannamalai,0.0,1.43,67.6,38.8,18.6,1
Virudhunagar,0.0,1.65,40.4,36.9,7.5,0
Vellore,0.0,1.04,50.1,31.8,5.7,0
Thoothukudi,149.8,4.05,92.3,30.2,59.0,0
Tenkasi,39.28,3.03,96.2,8.0,14.2,1
Coimbatore,0.0,1.71,73.6,36.7,28.4,0
Ariyalur,24.04,6.13,68.3,38.1,37.3,0
Ramanathapuram,32.37,3.22,94.2,36.3,20.2,0
Ramanathapuram,59.6,2.4,92.7,25.0,40.8,0
Pudukkottai,64.09,2.63,92.2,29.6,26.7,0
Tiruppur,0.0,1.16,66.9,33.2,9.9,0
Tiruvarur,3.23,0.96,84.0,31.0,14.3,0
Kanyakumari,11.88,2.09,87.1,29.1,17.9,0
Erode,0.0,1.11,73.6,32.5,10.6,0
Virudhunagar,0.0,1.09,65.3,33.1,20.1,0
The Nilgiris,2.02,1.59,66.7,22.0,6.9,0
Sivaganga,0.0,1.1,60.5,32.5,7.2,0
Thoothukudi,3.97,3.32,81.3,31.0,15.3,0
Tirupathur,13.01,2.77,79.3,13.7,4.8,1
Karur,0.9,2.68,70.4,31.2,18.9,0
Thoothukudi,0.06,1.22,91.1,27.5,51.3,0
Ranipet,0.0,1.37,45.4,34.9,7.9,0
Salem,0.0,1.26,54.4,31.1,16.4,1
Madurai,0.81,0.63,54.2,34.4,14.6,0
Madurai,0.0,0.36,72.0,32.0,11.7,0
Theni,71.0,4.43,97.5,12.3,21.3,0
Erode,0.0,0.3,44.2,35.6,5.0,0
Tiruvannamalai,0.0,1.89,52.7,36.3,10.3,0
Tirunelveli,0.0,1.25,47.3,37.9,8.0,0
Tiruvarur,112.41,4.29,90.8,27.1,66.8,0
Coimbatore,0.68,1.58,67.9,39.2,26.4,0
Krishnagiri,0.0,0.95,68.3,34.8,13.3,1
Tiruchirappalli,29.07,4.92,69.8,30.7,15.8,0
Ramanathapuram,18.18,3.34,67.8,32.3,21.9,0
Salem,0.0,0.95,68.7,36.5,13.3,0
Namakkal,0.78,0.93,68.7,33.5,19.8,0
Tirupathur,15.52,1.96,80.1,18.9,23.1,0
Karur,5.46,4.06,80.2,30.2,48.0,0
Thoothukudi,2.56,1.74,71.6,30.5,18.2,0
Ariyalur,6.21,4.96,73.8,28.3,7.0,0
Erode,0.0,0.65,69.5,37.5,10.6,0
Karur,0.81,2.81,61.3,28.7,14.9,0
Tiruppur,0.0,1.03,44.7,32.6,17.1,0
Coimbatore,0.0,1.27,66.3,32.3,8.7,0
Chennai,0.53,0.92,75.1,36.4,16.5,0
Ranipet,0.0,0.89,66.3,34.7,8.9,0
Tiruchirappalli,5.51,1.84,59.1,31.5,9.4,0
Krishnagiri,0.0,1.08,59.9,35.2,7.4,0
Perambalur,0.0,1.42,65.2,35.1,5.2,0
Tiruppur,0.0,1.89,46.2,34.4,13.0,0
Tirunelveli,0.0,1.47,47.5,37.2,5.9,0
Chengalpattu,14.33,2.75,88.7,30.7,22.0,0
Thoothukudi,17.43,2.01,92.3,26.9,16.9,0
Cuddalore,13.28,1.96,71.8,34.0,25.1,0
The Nilgiris,35.21,2.59,89.8,21.7,12.0,0
Kanyakumari,41.53,1.77,82.1,31.9,25.0,1
Kanyakumari,0.0,1.43,82.1,32.7,23.1,0
Tirunelveli,0.0,0.63,51.0,34.7,8.7,0
Tirupathur,49.42,4.21,88.0,13.0,8.9,1
Ariyalur,3.69,3.81,74.8,34.0,33.4,0
Vellore,0.0,0.81,71.8,33.6,8.7,0
Theni,12.29,1.79,68.9,22.8,5.1,0
Erode,0.0,1.57,56.4,31.8,31.0,0
Dindigul,111.11,5.1,97.8,8.0,11.7,0
Pudukkottai,12.41,1.67,68.5,26.7,75.6,0
Tiruvarur,26.65,1.91,86.6,26.1,49.4,0
Coimbatore,0.0,1.41,62.2,37.8,24.1,0
Mayiladuthurai,2.35,2.26,73.0,28.0,20.0,0
Kallakurichi,0.0,0.88,50.7,30.9,17.8,0
Erode,0.0,1.55,66.0,35.5,21.2,0
Salem,0.0,1.2,47.2,37.4,22.4,0
Madurai,0.0,0.69,60.0,31.6,7.4,0
Dharmapuri,0.0,1.48,65.5,30.4,11.2,0
Thanjavur,0.15,4.45,62.0,32.4,30.4,0
Nagapattinam,5.41,2.49,87.6,27.2,27.6,0
Theni,66.84,3.99,91.2,13.3,9.7,0
Cuddalore,5.09,0.62,70.4,29.9,71.1,0
Namakkal,0.0,1.24,46.1,40.5,12.8,0
Nagapattinam,2.93,1.61,67.8,33.3,52.6,0
Dindigul,16.73,1.83,94.6,19.0,17.2,0
Nagapattinam,8.24,0.3,82.0,28.1,18.0,0
Tiruppur,0.0,0.41,46.2,33.9,6.0,0
The Nilgiris,11.0,2.33,79.2,11.5,6.1,0
Ranipet,0.0,0.33,56.7,33.2,27.2,0
Pudukkottai,5.25,1.68,71.7,32.2,27.1,0
Vellore,0.0,0.36,58.0,28.9,15.1,0
Salem,0.0,1.12,43.2,37.7,8.6,0
Coimbatore,0.22,1.15,56.1,33.3,12.1,0
Namakkal,0.0,0.6,67.9,37.0,11.7,0
Perambalur,0.0,0.74,47.9,32.7,38.7,0
Tiruvarur,44.77,3.0,84.6,29.2,42.4,0
Tiruvallur,11.0,1.71,69.5,31.8,44.2,0
Dindigul,25.66,2.36,64.4,20.3,11.1,0
Ranipet,0.0,0.79,52.9,37.9,16.9,0
Chennai,40.22,2.11,88.3,30.4,37.3,1
Dindigul,142.0,6.44,76.9,11.5,10.4,1
Virudhunagar,0.0,0.3,50.9,38.3,30.3,0
Namakkal,0.0,1.39,72.0,38.6,10.6,0
Viluppuram,0.0,1.0,48.9,41.6,12.0,0
Tiruchirappalli,119.87,6.44,83.9,31.5,28.0,0
Tiruvallur,5.27,1.66,79.0,32.3,44.6,0
Tiruchirappalli,0.45,0.3,57.0,28.0,9.6,0
Thanjavur,42.12,5.15,69.4,31.4,15.8,0
The Nilgiris,40.46,3.55,75.1,21.0,19.0,0
Salem,0.0,1.5,67.5,33.1,27.6,0
Nagapattinam,10.26,0.43,69.5,29.3,33.0,0
Cuddalore,106.99,2.97,100.0,27.9,79.2,0
Sivaganga,0.0,1.08,46.4,32.2,19.6,0
Virudhunagar,0.0,1.52,54.1,30.6,16.0,0
Viluppuram,0.0,1.24,47.0,30.6,13.2,0
The Nilgiris,3.49,1.28,94.8,15.0,6.1,0
Madurai,0.0,1.48,44.4,37.4,9.1,0
Thoothukudi,20.61,0.99,76.6,30.1,33.9,0
Chengalpattu,27.11,2.76,72.5,28.4,21.9,0
Ranipet,0.0,0.49,54.5,35.0,5.3,0
Tiruvannamalai,0.0,0.71,54.2,36.8,5.6,0
Virudhunagar,0.0,1.35,44.7,32.0,8.3,0
Tiruppur,0.0,0.93,74.6,34.5,23.7,0
Tiruvannamalai,14.97,1.73,57.2,34.9,20.7,0
Salem,0.0,1.2,53.7,32.5,17.3,0
Theni,3.53,1.04,91.0,23.6,24.6,0
Kanyakumari,0.35,1.92,84.2,27.7,52.8,0
Theni,25.46,2.36,86.0,20.4,6.6,1
Tirupathur,11.13,1.88,81.4,22.8,18.9,0
Tenkasi,20.99,2.24,89.5,19.1,5.8,0
Tirupathur,15.45,2.28,85.8,18.1,4.9,0
Tiruvarur,10.2,1.76,66.4,27.1,23.2,1
Thoothukudi,5.87,2.36,86.1,31.3,15.4,0
Sivaganga,0.0,1.02,53.1,33.0,11.2,0
Thanjavur,19.62,4.44,58.8,30.6,9.4,0
Tiruvannamalai,2.91,0.61,68.4,35.9,35.3,0
Coimbatore,0.0,0.98,43.6,28.3,8.9,0
Ramanathapuram,31.92,1.37,82.6,31.7,73.7,0
Chengalpattu,23.87,2.23,70.0,30.6,37.5,0
Sivaganga,0.0,1.69,66.5,33.6,6.7,1
Ramanathapuram,302.13,9.52,100.0,21.1,80.0,1
Namakkal,0.0,0.91,71.4,33.2,15.9,0
Ariyalur,5.13,4.15,63.1,34.9,12.2,0
Vellore,0.0,0.84,66.5,32.5,10.7,0
Mayiladuthurai,62.93,4.12,84.0,31.2,53.2,0
Tiruchirappalli,102.43,4.1,85.8,34.7,17.8,0
Perambalur,0.0,1.03,60.6,29.5,7.6,0
Chengalpattu,137.68,4.53,100.0,26.6,44.2,0
Coimbatore,0.0,1.31,61.9,26.7,15.2,0
Tirupathur,0.49,1.8,93.1,20.9,22.4,0
Tiruvannamalai,0.0,1.17,64.1,33.8,11.2,0
Thoothukudi,3.68,1.74,70.2,29.5,42.0,0
Ranipet,0.0,0.7,49.7,36.2,8.2,0
Krishnagiri,0.0,0.57,72.5,36.9,18.3,0
Theni,1.12,0.38,62.1,15.6,6.2,0
Tiruvarur,17.77,1.65,89.2,27.4,21.7,1
Namakkal,0.0,0.93,64.1,31.4,15.8,0
Tiruvannamalai,0.0,1.02,73.3,39.5,8.7,0
Madurai,0.0,0.3,54.6,29.9,24.0,0
Ranipet,10.72,1.39,69.9,38.0,14.5,0
Pudukkottai,162.22,6.47,94.6,24.1,43.7,1
Pudukkottai,105.35,5.19,89.7,35.4,34.2,0
Tiruchirappalli,6.62,4.26,65.8,34.9,18.3,0
Perambalur,0.0,1.29,62.6,37.6,10.1,0
Sivaganga,0.0,1.41,73.1,28.6,6.9,0
Kallakurichi,0.0,1.0,44.0,38.2,6.2,0
Erode,0.0,0.87,56.6,32.8,85.9,1
Ariyalur,11.13,1.78,57.5,31.4,13.9,0
Madurai,0.0,1.11,61.8,33.4,19.2,0
Dharmapuri,0.0,0.98,43.6,32.1,9.0,0
Ariyalur,110.46,7.61,100.0,28.3,16.2,1
Coimbatore,12.06,0.75,45.7,36.2,8.6,0
Cuddalore,0.61,1.2,81.7,32.0,13.0,0
Pudukkottai,139.57,4.1,91.9,30.7,44.9,0
Namakkal,0.0,1.21,63.4,36.0,15.4,0
Kallakurichi,0.0,0.98,72.9,32.9,14.0,0
Kallakurichi,0.0,1.64,58.5,31.3,17.2,0
Viluppuram,0.0,1.5,56.6,32.9,10.4,0
The Nilgiris,33.14,3.0,65.8,15.6,11.0,0
Erode,0.0,1.38,53.6,35.8,6.9,0
Salem,0.0,1.03,54.6,30.3,5.9,0
Tiruvannamalai,0.0,1.4,46.0,34.5,23.4,0
Tiruvarur,17.16,1.27,75.7,31.3,24.1,0
Tiruppur,0.0,1.17,44.7,35.7,10.0,0
Tirunelveli,0.0,1.22,46.9,35.3,13.0,0
Viluppuram,0.0,1.04,69.7,34.9,10.8,0
Dindigul,72.14,3.39,70.3,20.1,20.6,0
Erode,0.0,1.79,51.4,37.8,11.0,0
Salem,0.0,0.79,41.3,34.3,7.6,0
Kallakurichi,0.0,0.99,64.5,32.8,19.5,0
Thoothukudi,4.17,1.11,84.0,30.9,13.8,0
Thanjavur,14.71,5.69,57.4,26.3,11.9,0
Tiruvarur,166.43,6.61,100.0,24.7,49.6,1
Chengalpattu,27.98,1.87,86.1,28.9,23.8,0
Erode,0.0,0.81,59.6,36.0,28.3,0
Viluppuram,0.0,1.18,61.1,32.2,8.2,0
Chennai,3.68,2.02,76.3,30.3,17.6,0
Tiruppur,0.0,0.56,69.4,33.1,13.4,0
Thanjavur,2.61,3.03,55.5,33.0,6.6,0
Ranipet,0.0,0.93,50.4,32.6,28.9,0
Tenkasi,23.99,2.59,80.9,16.2,16.0,0
Viluppuram,0.0,1.06,56.8,34.9,32.9,0
Kanyakumari,50.21,2.44,89.3,33.0,31.9,1
Ramanathapuram,6.03,2.08,91.6,31.6,31.8,0
Tiruvarur,3.8,2.85,78.5,32.1,39.8,1
Chengalpattu,1.99,1.13,70.1,28.6,36.7,0
Salem,0.0,1.04,66.1,38.3,41.2,0
Ariyalur,9.99,3.97,64.0,32.8,7.2,0
Perambalur,0.0,1.04,58.1,33.0,14.5,0
Namakkal,14.1,0.93,59.0,37.9,7.0,0
Theni,24.08,2.63,63.8,18.2,14.4,0
Kallakurichi,0.0,0.95,59.5,35.0,8.7,0
Tenkasi,3.24,0.64,89.3,16.4,8.9,0
Perambalur,0.0,0.87,52.8,38.1,5.9,0
Krishnagiri,0.0,1.57,61.3,40.3,9.0,0
Karur,31.09,3.78,72.9,34.9,9.0,0
Pudukkottai,0.33,0.98,76.5,31.5,12.3,0
The Nilgiris,24.5,1.89,70.8,17.6,5.4,0
Vellore,23.94,1.66,51.8,42.4,13.8,0
Tirupathur,15.55,2.13,76.9,14.7,9.5,0
Tiruvannamalai,1.41,1.54,61.4,35.4,19.0,0
Cuddalore,49.29,2.8,85.8,30.1,21.2,0
Tirupathur,67.07,3.59,75.6,11.6,7.2,0
Sivaganga,0.0,0.99,40.9,37.0,13.9,0
Ramanathapuram,16.2,1.56,86.4,33.8,18.9,0
Tenkasi,49.0,3.03,86.6,10.9,6.3,0
Krishnagiri,0.0,0.38,60.8,33.9,7.2,1
Dharmapuri,0.0,1.09,56.0,37.0,16.5,0
Coimbatore,0.0,1.2,48.4,37.4,34.9,0
Erode,0.0,0.75,75.0,40.4,12.7,0
Coimbatore,0.0,0.9,50.2,38.4,17.0,0
Theni,80.29,3.28,75.6,19.5,21.5,1
Chennai,7.8,1.78,77.7,33.2,20.1,0
Kanyakumari,7.65,1.96,70.0,29.2,19.6,0
Mayiladuthurai,1.79,1.36,84.9,32.3,21.5,0
Tirupathur,23.54,2.27,71.0,20.1,12.3,0
Ranipet,0.0,1.54,65.9,36.7,24.8,1
Chengalpattu,59.09,2.44,96.1,29.6,23.5,0
Ramanathapuram,23.62,1.24,78.2,30.1,33.9,0
Virudhunagar,0.0,0.68,40.2,38.6,7.5,0
The Nilgiris,4.47,0.9,71.9,13.8,23.0,0
Tiruvarur,5.08,2.35,76.0,29.6,22.0,0
Tiruvarur,6.46,1.65,67.0,30.6,28.4,0
Krishnagiri,0.0,0.83,53.4,36.2,5.4,0
Perambalur,0.0,1.67,66.4,35.2,10.6,1
Tirunelveli,0.0,1.28,67.4,37.3,7.5,0
Krishnagiri,0.0,1.41,53.7,33.1,12.2,0
Nagapattinam,2.57,1.04,84.6,34.8,30.9,0
Thoothukudi,3.63,1.24,76.3,30.0,20.4,0
Pudukkottai,3.59,2.84,69.7,28.8,40.4,0
Thoothukudi,29.82,1.29,89.4,27.1,29.0,0
Tiruvallur,44.85,2.28,81.4,27.6,26.7,0
Tiruppur,0.0,1.17,47.3,34.5,10.8,0
Thoothukudi,47.95,2.69,71.3,29.3,40.8,1
Tiruchirappalli,17.94,3.23,84.4,31.0,14.3,1
Ramanathapuram,19.17,2.57,69.4,28.4,32.2,0
Vellore,0.0,1.46,59.9,44.7,19.3,0
Coimbatore,0.0,1.21,54.2,35.5,28.1,0
The Nilgiris,17.83,1.35,74.7,13.1,15.2,0
Chengalpattu,14.71,1.96,84.8,35.3,33.0,0
Ramanathapuram,9.34,2.2,66.9,29.8,31.4,0
Perambalur,0.0,1.05,67.3,35.0,24.9,0
Krishnagiri,0.0,0.6,61.5,35.9,18.0,0
The Nilgiris,80.04,4.15,69.2,18.8,9.6,0
Tiruvallur,64.02,1.73,85.7,28.5,80.2,0
Thoothukudi,47.4,2.66,92.1,30.5,45.5,1
Tiruppur,0.0,0.88,64.1,39.6,23.7,1
Tiruvallur,0.4,1.11,80.8,37.0,25.8,0
Tiruppur,0.0,0.6,45.1,34.7,10.9,0
Ranipet,0.0,0.3,59.0,33.5,6.8,0
Vellore,0.0,0.86,46.5,36.6,27.6,0
Viluppuram,0.0,0.96,56.0,34.6,6.3,0
Ramanathapuram,5.75,1.13,82.6,31.9,31.0,0
Nagapattinam,46.02,1.73,75.0,27.5,39.1,0
Tirupathur,9.7,1.59,75.7,21.0,10.9,0
Nagapattinam,40.31,2.8,78.3,32.6,21.6,0
Tiruppur,0.0,1.07,59.2,37.6,6.8,1
Ariyalur,100.02,7.97,85.2,27.8,19.1,1
Ariyalur,29.5,3.31,68.2,32.4,17.0,1
Ariyalur,0.9,3.93,64.3,27.6,6.3,0
Krishnagiri,0.0,1.27,40.4,35.5,13.1,0
Kanyakumari,0.03,2.16,77.3,30.7,12.3,0
Madurai,0.0,0.72,47.9,34.0,12.2,0
Tiruvannamalai,0.0,1.32,45.6,37.9,16.2,0
Tiruppur,0.0,1.0,66.6,34.1,13.0,0
The Nilgiris,149.0,7.23,82.9,11.7,12.6,1
Cuddalore,1.16,2.75,75.9,32.4,23.2,0
Ranipet,5.75,1.16,55.9,37.3,6.8,0
Erode,0.0,0.77,61.3,30.3,11.6,0
Nagapattinam,178.69,4.93,100.0,25.4,63.7,0
Dindigul,25.83,1.72,89.5,22.6,10.2,0
Namakkal,0.0,0.75,56.9,35.1,11.1,0
Virudhunagar,0.0,1.44,58.2,38.0,12.4,0
Tiruvannamalai,0.25,0.73,70.3,34.9,9.3,0
Tiruvallur,28.35,2.01,82.8,29.1,49.3,0
Dharmapuri,0.0,1.23,47.9,34.5,14.6,0
Erode,0.0,0.8,58.6,32.0,7.7,0
Cuddalore,16.01,1.73,68.7,25.8,41.8,0
Namakkal,0.0,1.04,54.8,36.7,6.5,0
Pudukkottai,60.54,2.56,81.6,30.1,57.9,1
Perambalur,0.0,1.24,52.4,41.3,9.2,0
Vellore,0.0,1.26,45.1,40.3,16.2,0
Dindigul,32.06,2.25,91.1,14.8,13.7,0
Viluppuram,0.0,1.18,40.7,32.5,12.9,0
Tiruchirappalli,0.81,4.0,84.7,32.1,8.4,1
Salem,0.0,1.02,69.0,39.5,5.7,0
The Nilgiris,115.34,6.77,78.8,8.0,19.5,1
Viluppuram,0.0,0.9,62.9,35.5,9.6,0
Krishnagiri,0.0,0.74,70.4,37.8,23.0,0
Tenkasi,5.17,1.44,66.7,16.5,39.1,0
Ramanathapuram,21.69,1.41,70.9,31.7,58.1,0
Cuddalore,7.52,2.03,79.3,33.0,19.5,0
Karur,0.97,3.29,66.0,29.9,6.2,0
Erode,0.0,1.14,64.5,32.7,6.6,0
Vellore,0.0,1.11,49.0,35.2,22.0,0
Pudukkottai,6.05,2.31,83.9,28.4,46.3,0
Ramanathapuram,5.74,1.0,77.4,30.3,54.2,0
Thoothukudi,31.63,2.06,86.7,29.8,51.5,0
Thanjavur,54.34,3.82,76.4,28.2,16.9,0
Dharmapuri,0.0,1.06,51.5,36.2,12.7,0
Kallakurichi,0.0,1.24,60.6,39.6,10.0,0
Erode,0.0,0.93,48.9,33.2,5.4,1
Mayiladuthurai,0.06,1.83,91.9,33.1,65.4,0
Virudhunagar,0.0,0.58,73.6,38.1,10.7,0
Perambalur,0.0,1.31,72.7,31.1,35.9,0
Chennai,7.38,2.39,66.0,30.5,37.0,0
Viluppuram,0.0,1.29,48.9,33.7,7.5,0
Thoothukudi,151.04,4.54,100.0,26.6,44.5,0
Tiruppur,57.32,2.15,60.0,34.3,20.3,0
Ranipet,0.0,1.31,52.0,31.7,21.3,0
Viluppuram,0.0,0.75,48.8,36.6,9.3,0
Tiruppur,0.0,1.26,41.8,31.8,7.3,0
Chengalpattu,5.25,2.02,79.5,30.0,27.8,0
Viluppuram,0.0,0.51,53.7,33.3,13.1,0
Karur,4.53,4.13,66.2,31.3,7.4,0
Virudhunagar,0.0,0.7,58.0,36.7,38.5,0
Nagapattinam,61.76,4.04,82.6,27.3,48.2,0
Theni,105.87,5.35,73.7,15.9,12.9,0
Salem,0.0,1.17,63.1,33.2,29.6,0
Tiruvannamalai,0.0,1.1,64.9,37.4,9.0,0
Tirunelveli,0.0,1.12,62.2,37.0,13.1,0
Salem,0.0,0.84,66.5,31.8,6.2,0
Perambalur,0.0,0.6,52.1,36.7,19.6,0
Vellore,0.0,1.33,47.3,33.0,13.8,0
Kanyakumari,1.0,1.41,82.3,33.0,23.9,0
Chennai,48.84,2.56,78.2,33.6,21.7,0
Thanjavur,10.46,2.93,78.6,28.4,10.5,1
Dharmapuri,0.0,1.39,66.1,36.2,6.9,0
Nagapattinam,4.03,1.53,87.5,28.0,23.7,0
Tiruvarur,14.66,2.18,87.4,29.2,41.9,1
Thanjavur,0.59,2.64,76.3,32.3,8.3,0
Sivaganga,0.0,0.66,56.8,36.9,13.2,0
Thoothukudi,2.54,2.01,91.8,31.7,16.3,0
Kallakurichi,0.0,0.98,60.6,30.2,27.3,0
Krishnagiri,0.0,1.15,68.1,40.9,8.7,1
Tiruvarur,0.98,1.72,90.2,31.3,39.1,0
Nagapattinam,1.63,1.48,69.7,26.3,20.8,0
Chengalpattu,1.56,1.59,75.0,33.5,19.8,0
Ramanathapuram,30.56,3.17,72.4,33.0,58.5,0
Dharmapuri,0.0,0.68,60.4,30.9,10.0,0
Nagapattinam,89.42,3.3,80.2,26.6,32.4,0
Salem,0.0,0.87,41.0,31.4,10.7,0
Krishnagiri,0.0,0.99,41.0,32.4,9.2,0
Ariyalur,27.19,2.87,67.5,28.2,26.1,0
Mayiladuthurai,1.22,1.14,75.7,28.7,18.3,0
Thoothukudi,9.46,2.04,83.4,36.3,19.4,0
Tiruvannamalai,0.0,1.21,63.6,35.5,13.8,0
Tirunelveli,0.0,1.01,44.2,35.5,25.5,0
Tirupathur,2.32,0.81,69.2,15.6,5.0,0
Tirupathur,27.69,2.52,81.8,21.4,6.1,1
Nagapattinam,29.9,2.43,90.6,33.1,39.5,0
Perambalur,0.0,1.7,74.0,38.9,15.3,1
Coimbatore,0.0,0.72,53.1,36.0,8.1,0
Chengalpattu,3.39,1.97,76.2,32.8,17.0,0
Erode,0.0,1.14,62.9,33.2,6.0,0
Karur,2.22,3.88,71.5,32.4,10.2,0
Viluppuram,0.0,1.02,42.4,37.7,6.5,0
Dindigul,9.8,0.88,72.3,20.5,21.9,0
Erode,0.0,1.24,65.0,35.8,5.1,0
Tiruvallur,0.65,1.59,91.0,33.5,19.9,0
Ariyalur,34.6,4.13,88.8,34.3,9.3,0
Tenkasi,56.59,2.98,66.8,8.8,15.3,1
Dharmapuri,0.0,1.5,63.9,34.3,13.1,0
Coimbatore,0.0,0.82,74.6,33.6,5.6,0
Ariyalur,51.99,7.48,74.9,31.2,24.4,0
Pudukkottai,27.51,2.62,80.2,22.6,56.1,0
Ranipet,0.0,0.3,72.7,34.3,32.1,0
Salem,0.0,0.3,69.1,35.9,23.2,0
Thoothukudi,1.59,2.48,70.1,32.8,55.5,0
Tiruvallur,46.7,2.62,71.8,25.6,49.5,0
Pudukkottai,0.01,1.5,78.5,34.3,36.0,0
Ramanathapuram,1.13,0.6,76.3,35.8,23.8,0
Tiruppur,0.0,0.87,56.9,35.7,39.1,0
Thanjavur,72.95,4.95,84.9,27.6,21.2,0
Pudukkottai,2.42,1.43,84.7,30.0,37.6,0
Ramanathapuram,52.44,2.71,88.5,25.3,23.5,1
Tirupathur,11.0,2.0,80.1,15.7,23.0,0
Tiruvallur,4.28,2.17,69.5,27.8,16.3,0
Vellore,0.0,0.5,70.1,36.5,8.8,0
Madurai,0.0,0.3,72.8,34.8,5.9,0
Sivaganga,0.0,0.6,66.5,40.8,7.4,0
Dindigul,93.42,4.78,100.0,14.7,8.2,0
Ranipet,0.0,1.0,41.4,37.6,8.7,0
Dindigul,98.26,6.32,100.0,16.0,11.7,1
Tiruvallur,60.42,3.46,76.6,25.7,23.3,0
Tiruvallur,18.76,1.97,92.5,26.7,18.4,0
Salem,0.0,0.31,53.1,38.6,9.9,0
Dindigul,167.3,8.66,90.9,8.0,19.2,1
Theni,2.84,1.78,71.0,11.7,23.5,0
Salem,0.0,1.67,72.4,33.7,6.3,0
The Nilgiris,56.62,2.6,77.9,22.9,6.5,0
Tirupathur,21.2,2.82,71.8,15.9,7.8,0
Nagapattinam,21.64,1.47,93.9,23.6,34.5,0
Nagapattinam,1.41,1.35,66.6,28.2,32.4,0
Viluppuram,0.0,0.9,54.8,36.5,11.8,0
Ariyalur,5.36,3.72,81.7,25.8,40.3,0
Pudukkottai,46.43,2.32,79.9,27.7,27.2,0
Ramanathapuram,6.9,1.12,68.4,28.3,20.5,1
Sivaganga,0.0,0.71,42.4,34.2,14.5,0
Viluppuram,0.0,1.16,48.1,33.6,9.7,0
